advertisers_company_name,api_text,clicks,impressions
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,12620
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,17
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,69762
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,37722
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,2
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,10
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,3
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,1
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,50576
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,21597
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,3540
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,906
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,784
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,35216
